Tem,Wind,Hum,Pres,PM10,PM2.5,O3,NO2,CO,SO2,Pat
25.3,2.2,58,1000.3,34,23,0.026,0.031,0.4,0.005,1
24.6,2.8,78.1,999.8,27,17,0.022,0.02,0.3,0.004,1
24,1.3,71.6,1004.4,35,24,0.022,0.037,0.4,0.006,1
27.3,1.8,66.5,999.9,52,40,0.029,0.029,0.4,0.004,1
27.7,2,64.8,996.4,30,19,0.024,0.02,0.3,0.005,0
28.4,1.7,67.4,994,44,35,0.034,0.028,0.4,0.006,1
26.3,2.1,65.5,992.3,28,20,0.022,0.025,0.4,0.006,1
27.1,1.5,65.5,1001.1,34,20,0.029,0.027,0.4,0.004,1
28.6,1.9,62.5,1002.7,32,22,0.029,0.028,0.4,0.004,1
28.3,2.2,61.3,1001,28,18,0.029,0.027,0.3,0.004,1
29.1,2.2,64,999.6,33,22,0.029,0.025,0.3,0.004,1
28.7,1.9,70.4,998.9,42,29,0.024,0.024,0.3,0.005,0
28.4,1.9,75.3,1000.6,46,35,0.016,0.026,0.3,0.006,1
28.4,2.6,69,997.6,32,22,0.014,0.02,0.2,0.005,1
27.6,3.2,76.4,994.6,32,24,0.016,0.02,0.3,0.005,1
28,2.8,70.6,996.1,53,43,0.037,0.02,0.4,0.004,1
26.3,1.6,82.3,999,48,33,0.017,0.035,0.4,0.004,1
28.6,2.1,73.5,1001.1,46,36,0.028,0.025,0.3,0.005,0
27.2,1.2,72.5,999.3,26,17,0.011,0.027,0.3,0.004,1
29.1,1.6,65.4,999.1,25,15,0.025,0.026,0.3,0.004,1
30.7,1.6,59.6,999.6,26,16,0.026,0.023,0.3,0.004,1
31.2,1.8,60.1,999.6,34,25,0.036,0.025,0.3,0.004,1
30.5,1.7,64.8,998.1,55,41,0.041,0.027,0.4,0.004,0
29.3,1.9,68.3,998.4,30,20,0.031,0.025,0.3,0.004,1
30.5,2,64.1,999.9,27,17,0.023,0.017,0.2,0.004,1
30.4,2,68.3,997.8,38,27,0.023,0.02,0.3,0.004,1
30.2,2.4,67.9,996.2,34,25,0.018,0.016,0.2,0.004,0
29.9,1.9,60.4,993.6,35,22,0.032,0.021,0.3,0.004,1
29.9,1.6,61.9,995.6,49,36,0.033,0.034,0.4,0.005,1
28.9,1.4,69.5,996.6,54,43,0.029,0.037,0.4,0.005,1
30.1,1.7,59,996.4,31,21,0.029,0.022,0.3,0.004,0
30.7,2.1,58,996.1,25,18,0.03,0.021,0.3,0.004,1
28.3,2.1,68.8,996.4,29,19,0.025,0.029,0.3,0.004,1
